style,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pale Lager,108,108,132,80,148,134,106,94,98,98,88,90
Golden Ale/Blond Ale,58,68,73,47,53,68,46,69,68,75,62,66
Bitter,48,58,56,36,51,54,42,43,28,27,25,44
Irish Ale,9,15,29,49,10,24,21,5,8,13,12,9
Stout,41,48,73,45,66,55,65,77,81,95,109,92
American Pale Ale,62,86,86,69,80,61,55,92,124,136,116,100
Sweet Stout,67,27,104,60,43,78,74,119,69,99,92,109
Imperial IPA,78,94,108,90,106,96,86,88,118,118,104,130
Pilsener,99,108,88,111,78,97,70,61,66,67,122,103
India Pale Ale (IPA),192,96,96,108,108,84,72,84,108,108,156,144
Dry Stout,17,37,32,61,25,34,36,14,2,7,10,12
Dortmunder/Helles,31,20,27,40,20,24,44,14,23,29,13,19
Porter,97,55,96,84,90,46,76,53,74,59,98,83
Saison,67,91,93,95,77,104,79,98,98,140,100,68
Foreign Stout,24,17,45,2,3,16,34,24,13,8,0,17
Fruit Beer,81,50,52,57,60,36,23,49,95,77,109,83
Imperial Stout,136,138,102,78,138,150,82,118,152,142,176,142
Mild Ale,23,23,12,23,17,12,12,15,10,10,5,9
Berliner Weisse,6,54,28,39,32,46,74,90,40,92,80,94
German Hefeweizen,75,64,54,40,69,48,52,46,47,45,34,65
California Common,18,4,9,0,6,25,26,16,22,22,27,28
Black IPA,33,38,32,66,80,65,62,31,36,66,83,66
Wheat Ale,82,56,41,56,61,92,85,99,107,43,66,78
Amber Ale,81,99,76,28,64,84,55,45,83,81,78,63
Abbey Tripel,49,58,71,40,46,40,53,47,50,46,41,30
Kölsch,14,10,32,64,47,14,14,48,63,18,42,42
Altbier,41,38,37,28,21,9,40,19,34,16,17,35
Smoked,30,25,26,11,15,46,31,53,43,26,28,25
Bière de Garde,8,7,17,8,7,7,10,8,6,7,7,6
Premium Bitter/ESB,39,47,42,51,53,33,36,29,19,21,16,19
Specialty Grain,5,14,23,57,12,13,64,53,29,36,37,42
Sour/Wild Ale,55,53,55,18,86,92,96,80,92,84,98,116
Spice/Herb/Vegetable,102,84,65,114,121,161,136,113,104,100,93,61
Belgian Ale,87,60,58,62,50,63,53,57,60,66,62,54
Belgian Strong Ale,106,70,98,64,93,60,76,82,78,79,80,85
Old Ale,47,28,25,37,31,34,26,34,44,39,66,25
Dunkelweizen,19,15,12,20,12,9,17,2,3,6,2,3
English Strong Ale,49,73,60,62,29,51,59,52,36,41,17,21
Schwarzbier,42,12,40,13,12,9,21,4,16,13,11,19
Baltic Porter,25,48,49,44,10,18,28,33,19,17,21,22
Witbier,25,56,47,95,57,63,56,51,33,42,52,58
Barley Wine,126,79,88,89,82,69,93,85,94,96,65,56
Amber Lager/Vienna,56,87,54,45,40,63,88,71,68,42,47,33
Scottish Ale,21,12,29,13,20,23,27,42,27,27,16,24
Brown Ale,94,55,64,61,46,44,68,115,96,111,98,73
Traditional Ale,15,22,13,14,20,9,29,15,9,16,8,9
American Strong Ale ,84,110,68,91,95,79,70,71,55,82,53,78
Grodziskie/Gose/Lichtenhainer,8,6,8,18,14,5,26,33,68,60,82,58
Oktoberfest/Märzen,58,62,36,38,51,22,49,35,41,43,74,8
Scotch Ale,28,65,82,41,39,51,86,42,39,37,42,89
Low Alcohol,29,28,25,22,15,16,24,8,8,15,6,10
German Kristallweizen,13,12,16,9,3,4,8,10,0,3,5,13
Doppelbock,67,46,56,57,76,36,43,43,19,13,9,19
Dunkel/Tmavý,68,66,47,47,40,48,57,48,47,29,26,16
Sahti/Gotlandsdricke/Koduõlu,12,10,1,6,18,1,7,0,1,0,2,3
Imperial Pils/Strong Pale Lager,30,21,17,22,22,10,19,28,11,7,7,12
Abbey Dubbel,51,44,30,44,29,45,51,39,39,31,24,14
Cream Ale,35,25,40,58,68,38,39,37,77,42,68,81
Abt/Quadrupel,27,28,72,79,55,56,41,35,47,37,33,43
Zwickel/Keller/Landbier,7,20,8,27,17,24,26,19,19,12,17,17
Weizen Bock,12,42,78,5,6,15,15,8,0,8,5,4
Lambic Style - Fruit,36,34,24,11,23,14,24,15,22,33,31,26
Eisbock,26,31,12,19,64,17,12,6,14,2,0,2
Mead,17,38,7,5,3,35,32,8,2,17,2,20
Dunkler Bock,26,39,35,28,30,20,31,11,18,11,7,9
Sour Red/Brown,21,23,50,15,56,28,47,61,52,71,49,54
Heller Bock,5,15,20,16,35,18,27,28,28,11,4,11
Malt Liquor,22,38,18,13,14,28,26,27,41,17,18,15
Lambic Style - Gueuze,14,11,9,10,6,23,25,11,21,25,21,15
Lambic Style - Unblended,13,4,9,0,4,9,5,7,2,9,4,8
Lambic Style - Faro,17,2,0,2,16,3,5,0,5,0,0,0
